run_id,row_id,model,start_time,base_commit,end_time,duration_s,status,cost_usd,patch_path,bundle_path,ended_by,edits,turns
7f804f1d,corpus-euler-adopt-max-builtin,deepseek/deepseek-v4-flash-0731,2026-09-15T20:50:34.778186+00:00,,2026-09-15T21:01:37.424001+00:00,662.6,GREEN,0.059475,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-euler-adopt-max-builtin/7f804f1d/patch,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-euler-adopt-max-builtin/7f804f1d,model_done,2,36
d7be583d,corpus-euler-adopt-sum-builtin,deepseek/deepseek-v4-flash-0731,2026-09-15T20:50:34.778106+00:00,,2026-09-15T21:02:13.901891+00:00,699.1,GREEN,0.083133,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-euler-adopt-sum-builtin/d7be583d/patch,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-euler-adopt-sum-builtin/d7be583d,model_done,2,28
ec25169c,module-routing-semantics-build,deepseek/deepseek-v4-flash-0731,2026-09-15T21:31:15.563843+00:00,,2026-09-15T21:40:20.356786+00:00,544.8,GREEN,0.096878,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-semantics-build/ec25169c/patch,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-semantics-build/ec25169c,max_turns,5,60
7a800365,corpus-euler-29-adopt-sort-builtin,deepseek/deepseek-v4-flash-0731,2026-09-15T21:31:15.564158+00:00,,2026-09-15T21:40:29.528229+00:00,554.0,GREEN,0.015301,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-euler-29-adopt-sort-builtin/7a800365/patch,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-euler-29-adopt-sort-builtin/7a800365,model_done,3,23
359a3266,tools-app-retire-mail-tab-build,deepseek/deepseek-v4-flash-0731,2026-09-16T21:52:23.190948+00:00,,2026-09-16T21:58:23.102521+00:00,359.9,GREEN,0.034812,/home/kantord/.cache/toylang-simple-dispatch/results/tools-app-retire-mail-tab-build/359a3266/patch,/home/kantord/.cache/toylang-simple-dispatch/results/tools-app-retire-mail-tab-build/359a3266,max_turns,9,30
14a29bb6,seq-type-primitive-build,deepseek/deepseek-v4-flash-0731,2026-09-16T22:33:17.848677+00:00,,2026-09-16T22:50:22.178779+00:00,1024.3,GREEN,0.268455,/home/kantord/.cache/toylang-simple-dispatch/results/seq-type-primitive-build/14a29bb6/patch,/home/kantord/.cache/toylang-simple-dispatch/results/seq-type-primitive-build/14a29bb6,max_turns,14,90
41d6f020,mutation-rule-v1-build-rust,deepseek/deepseek-v4-flash-0731,2026-09-16T22:33:17.848916+00:00,,2026-09-16T22:57:08.301891+00:00,1430.5,GREEN,0.209831,/home/kantord/.cache/toylang-simple-dispatch/results/mutation-rule-v1-build-rust/41d6f020/patch,/home/kantord/.cache/toylang-simple-dispatch/results/mutation-rule-v1-build-rust/41d6f020,max_turns,10,90
178f8af9,convergence-ruling-staleness-guards,deepseek/deepseek-v4-flash-0731,2026-09-17T20:59:58.783687+00:00,,2026-09-17T21:07:35.409160+00:00,456.6,STUCK,0.224181,,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-ruling-staleness-guards/178f8af9,dedup,0,60
e29dc213,convergence-guard-round-composition,deepseek/deepseek-v4-flash-0731,2026-09-18T20:35:37.606360+00:00,,2026-09-18T20:39:18.069964+00:00,220.5,GREEN,0.015078,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-round-composition/e29dc213/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-round-composition/e29dc213,model_done,2,12
47ed473d,convergence-guard-running-marker,deepseek/deepseek-v4-flash-0731,2026-09-18T20:35:37.606258+00:00,,2026-09-18T20:41:59.162479+00:00,381.6,GREEN,0.032279,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-running-marker/47ed473d/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-running-marker/47ed473d,max_turns,7,30
7173610b,convergence-guard-lint-check,deepseek/deepseek-v4-flash-0731,2026-09-18T20:35:37.606567+00:00,,2026-09-18T20:51:24.591645+00:00,947.0,GREEN,0.037583,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-lint-check/7173610b/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-lint-check/7173610b,model_done,3,27
ed5c4d00,convergence-guard-drive-verbs,deepseek/deepseek-v4-flash-0731,2026-09-18T21:17:04.007794+00:00,a87f3628ed02944f316d3cd0e4bffa32b7265947,2026-09-18T21:26:40.781706+00:00,576.8,GREEN,0.011901,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-drive-verbs/ed5c4d00/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-drive-verbs/ed5c4d00,model_done,4,29
b3887330,transpose-remaining-backends,deepseek/deepseek-v4-flash-0731,2026-09-18T21:17:04.008454+00:00,a87f3628ed02944f316d3cd0e4bffa32b7265947,2026-09-18T21:26:37.088171+00:00,573.1,RED,0.283892,/home/kantord/.cache/toylang-simple-dispatch/results/transpose-remaining-backends/b3887330/patch,/home/kantord/.cache/toylang-simple-dispatch/results/transpose-remaining-backends/b3887330,max_turns,7,90
90cb39ac,float-corpus-cases,deepseek/deepseek-v4-flash-0731,2026-09-18T21:17:04.008250+00:00,a87f3628ed02944f316d3cd0e4bffa32b7265947,2026-09-18T21:44:42.375305+00:00,1658.4,GREEN,0.241826,/home/kantord/.cache/toylang-simple-dispatch/results/float-corpus-cases/90cb39ac/patch,/home/kantord/.cache/toylang-simple-dispatch/results/float-corpus-cases/90cb39ac,model_done,11,77
80300155,convergence-guard-round-composition,deepseek/deepseek-v4-flash-0731,2026-09-18T21:17:39.837973+00:00,a87f3628ed02944f316d3cd0e4bffa32b7265947,2026-09-18T21:24:44.426093+00:00,424.6,GREEN,0.018995,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-round-composition/80300155/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-round-composition/80300155,max_turns,1,30
940fdccf,convergence-guard-lint-check,deepseek/deepseek-v4-flash-0731,2026-09-18T21:20:36.113006+00:00,a87f3628ed02944f316d3cd0e4bffa32b7265947,2026-09-18T21:35:36.020936+00:00,899.9,GREEN,0.098271,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-lint-check/940fdccf/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-lint-check/940fdccf,model_done,4,53
614104f3,convergence-guard-round-composition,deepseek/deepseek-v4-flash-0731,2026-09-18T21:29:56.952698+00:00,d9d27958a9fab1a0a4247ff49337fb3e97f193ab,2026-09-18T21:36:10.872256+00:00,373.9,GREEN,0.043253,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-round-composition/614104f3/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-round-composition/614104f3,max_turns,1,30
2b9d2ef3,convergence-guard-lint-check,deepseek/deepseek-v4-flash-0731,2026-09-18T21:38:26.849747+00:00,feef0d0e1772d06faefcf860187d8091d3cf1cc2,2026-09-18T21:53:42.798458+00:00,915.9,GREEN,0.035073,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-lint-check/2b9d2ef3/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-lint-check/2b9d2ef3,model_done,2,38
fe6dc1a5,convergence-guard-drive-verbs,deepseek/deepseek-v4-flash-0731,2026-09-19T07:57:19.312118+00:00,7455b76d141217c4ac8b7d7812782073468c0f5e,2026-09-19T08:01:14.229626+00:00,234.9,GREEN,0.012318,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-drive-verbs/fe6dc1a5/patch,/home/kantord/.cache/toylang-simple-dispatch/results/convergence-guard-drive-verbs/fe6dc1a5,model_done,2,25
